,Datetime,Tweet Id,Text,Username,Location,Language,Source,Keyword
42,2021-08-14 06:13:08+00:00,1.43E+18,Same thing happened near Hauz Khas a couple of weeks back. And these are tier 1 cities of India! Fucking fraud governments making shit roads without any remorse whatsoever! https://t.co/D1vzoDyliF,AshwinR94,"Delhi, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
43,2021-08-03 21:05:09+00:00,1.42E+18,"From 80k to 1.47L, GST amount - 22k/student, near around 3k students
Total money- 22k * 3k = 6,60,00000
Will be going to NBE  board with just one mail to all dnb students.
Is it legit? Or fraud? 

@IMAIndiaOrg @NBEMS_INDIA @PMOIndia @OfficeOf_MM @mandaviya_in @FordaIndia",_mishraankit, India,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
44,2021-07-29 14:55:02+00:00,1.42E+18,"@CricCrazyJohns This fraud scamson should nowhere be near india c team even
Biggest fraudster
Give me freedom 
Give me fire
Give me sharjah
Or i retire",gyatharth07,Delhi ,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
45,2021-07-29 14:54:13+00:00,1.42E+18,@SushantNMehta This fraud scamson should no where be near india c team even,gyatharth07,Delhi ,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
46,2021-07-22 11:53:12+00:00,1.42E+18,"If I will go with logic from positive fd standless shippers thn

What happened in reality shown by Voot is fraud whereas what delusional fans write in FFs is truth 

Ok so how many mental asylums r in India &amp; Canada??? I fear excessive demand of beds can b issue in near future.",It_Is_My_Place,India,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
47,2021-07-14 03:14:10+00:00,1.42E+18,"@MoHFW_INDIA please look into the cowin app slot booking, there is some kind of fraud going on there due to open api, I'm not able to book slot for my parents from past one week for 2nd dose and ending date is near.",subam31988400,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
48,2021-07-02 16:51:57+00:00,1.41E+18,@DoT_India @excitel_rocks @excitel_rocks Fraud Internet provider. Its been7days but they have not installed my Internet connection. Field agent Pradeep says I will be coming in 5 mins standing near to yr house. All fake peoples. refund my entire amount for an year. @raina_vivek,TandonNabh,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
49,2021-06-28 15:34:30+00:00,1.41E+18,@PMOIndia @SEBI_India @nsitharaman @DineshThakkar angel broking has scamed my accnt crediting less amount near difference of 20k and these guyz do not help disconnects calls talks rudely no one assists we are getting fruaded by @AngelBrokingLtd they are doing fraud,PiyushBhutada5,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
50,2021-06-28 15:27:49+00:00,1.41E+18,@PMOIndia @SEBI_India @nsitharaman @ianuragthakur @DineshThakkar angel broking has scamed my accnt crediting less amount near difference of 20k and these guyz do not help disconnects calls talks rudely no one assists we are getting fruaded by @AngelBrokingLtd they are doing fraud,PiyushBhutada5,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
51,2021-06-18 05:37:53+00:00,1.41E+18,"@PolyPoliLive @JustHisWords 
Law is not equal for everyone in fake democracy. I can't say that will happen in near future as slavery is not wrong to most of the Indians. But no one can save licence of fraud @CESCLimited. @rashtrapatibhvn @PMOIndia @PIB_India @PIBKolkata https://t.co/ROqSUaoCm0",tk24dutta_india,"CALCUTTA, WEST BENGAL",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
52,2021-06-15 09:11:12+00:00,1.40E+18,"@kotaksecurities's charges are too high.... 
They will charge near to 3% to buy value in equity delivery....
So,If the stocks you buy increases by x% then you will have the profit = x% - 3%....
It's a clear loot....
#fraud
@SEBI_India 
#closekotaksecurities
#kotaksecurities",D4_Developer,"Gujarat, India",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
53,2021-06-14 17:44:14+00:00,1.40E+18,@SEBI_India brokers are making fraud in the name of sebi near expi ary for option they are heavenly charging fine from last 4 days to expiry.,Rajesh16101990,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
